"player_name_pfr","college_combine","Ht","Wt","X40yd","Vertical","Bench","Broad_Jump","X3Cone","Shuttle","pos_combine","combine_yr","Pick","Career_AV_New","draft_dummy"
"Alan Reuber","Texas A&M",78,323,5.49,29,26,98,7.95,4.91,"OG",2004,300,0,0
"Andrae Thurman","Arizona",71,192,4.54,34.5,NA,121,7.31,4.3,"WR",2004,300,0,0
"Andrew Shull","Kansas State",77,265,4.9,30.5,16,107,7.46,4.28,"DE",2004,300,0,0
"Anthony Herrera","Tennessee",74,315,5.2,NA,NA,NA,NA,NA,"OG",2004,300,0,0
"Antonio Hall","Kentucky",75,317,5.54,26.5,27,101,8.12,4.55,"OG",2004,300,0,0
"Arnold Parker","Utah",74,213,4.54,35.5,18,120,6.98,4.12,"S",2004,300,0,0
"Adimchinobe Echemandu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,208,2,1
"Adrian Jones","Kansas",76,296,4.97,31,27,114,7.81,4.58,"OT",2004,132,14,1
"Adrien Clarke","Ohio State",77,329,5.52,26,NA,102,7.9,4.74,"OG",2004,227,8,1
"Ahmad Carroll","Arkansas",70,195,4.34,41,15,128,NA,NA,"CB",2004,25,15,1
"Alex Lewis","Wisconsin",72,227,4.78,34.5,25,121,7.06,4.28,"OLB",2004,140,8,1
"Alex Stepanovich","Ohio State",75,304,5.29,25.5,NA,96,7.64,4.44,"C",2004,100,15,1
"Alfonso Marshall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,215,1,1
"Amon Gordon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,161,5,1
"Andre Sommersell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,255,0,1
"Andy Lee","Pittsburgh",73,207,5,NA,NA,NA,NA,NA,"P",2004,188,34,1
"Anthony Maddox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,118,8,1
"Antonio Smith","Oklahoma State",75,274,5.03,33,24,108,NA,4.75,"DE",2004,135,57,1
"Antwan Odom","Alabama",78,274,4.71,37,21,114,7.3,4.44,"DE",2004,57,24,1
"B.J. Sander","Ohio State",76,219,4.84,NA,NA,NA,NA,NA,"P",2004,87,2,1
"B.J. Symons","Texas Tech",72,210,4.9,NA,NA,NA,NA,NA,"QB",2004,248,0,1
"Ben Utecht","Minnesota",78,249,4.8,NA,NA,NA,NA,NA,"TE",2004,300,0,0
"Brad Lekkerkerker","California-Davis",79,317,5.36,27.5,23,102,7.94,4.71,"OT",2004,300,0,0
"Brandon Everage","Oklahoma",72,194,4.55,NA,NA,NA,NA,NA,"S",2004,300,0,0
"Brett Pierce","Stanford",77,250,4.95,27,19,103,7.13,4.37,"TE",2004,300,0,0
"Bryan Hickman","Kansas State",72,231,4.68,32.5,26,106,7.38,4,"OLB",2004,300,0,0
"Ben Hartsock","Ohio State",76,263,4.8,35,23,117,7.1,3.98,"TE",2004,68,3,1
"Ben Roethlisberger","Miami (OH)",77,241,4.75,NA,NA,NA,NA,NA,"QB",2004,11,129,1
"Ben Troupe","Florida",76,265,4.65,NA,NA,NA,NA,NA,"TE",2004,40,9,1
"Ben Watson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,32,44,1
"Bernard Berrian","Fresno State",73,183,4.58,38,NA,128,7.34,4.18,"WR",2004,78,34,1
"Bo Lacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,177,0,1
"Bo Schobel","TCU",77,271,4.8,32.5,25,109,6.94,4.38,"DE",2004,103,4,1
"Bob Sanders","Iowa",68,204,4.35,41.5,15,128,6.7,3.91,"S",2004,44,33,1
"Bobby McCray","Florida",78,255,4.62,33.5,27,NA,NA,NA,"DE",2004,249,25,1
"Bradlee Van Pelt","Colorado State",74,231,4.98,33.5,NA,115,6.89,4.11,"QB",2004,250,1,1
"Brandon Chillar","UCLA",75,253,4.71,33,23,115,NA,4.08,"OLB",2004,130,25,1
"Brandon Miree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,247,1,1
"Brian Rimpf","East Carolina",78,319,5.41,28,31,105,7.97,4.66,"OT",2004,246,4,1
"Bruce Perry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,242,1,1
"Bruce Thornton","Georgia",70,197,4.5,37.5,NA,122,NA,NA,"CB",2004,121,5,1
"Casey Clausen","Tennessee",75,223,4.95,NA,NA,NA,NA,NA,"QB",2004,300,0,0
"Cedric Hilliard","Notre Dame",73,307,5.17,29,26,110,8.22,4.75,"DT",2004,300,0,0
"Chad Pugh","TCU",75,321,5.38,25,19,98,8.17,4.85,"DT",2004,300,0,0
"Chris Collins","Mississippi",73,201,4.69,35,NA,112,NA,NA,"WR",2004,300,0,0
"Clarence Farmer","Arizona",72,231,4.68,34.5,25,120,7.44,4.25,"RB",2004,300,0,0
"Curtis DeLoatch","North Carolina A&T",74,214,4.5,35.5,10,120,6.97,4.42,"CB",2004,300,0,0
"Caleb Miller","Arkansas",75,224,4.66,34.5,23,120,6.85,3.93,"ILB",2004,80,11,1
"Carlos Francis","Texas Tech",69,198,4.33,38.5,NA,114,6.97,4.06,"WR",2004,99,1,1
"Carlos Joseph","Miami (FL)",78,345,5.33,NA,29,NA,NA,NA,"OT",2004,254,0,1
"Casey Bramlet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,218,0,1
"Casey Cramer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,228,1,1
"Cedric Cobbs","Arkansas",72,223,4.75,40,NA,123,NA,NA,"RB",2004,128,1,1
"Chad Lavalais","LSU",73,303,5.09,NA,NA,NA,NA,NA,"DT",2004,142,10,1
"Charlie Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,200,9,1
"Chris Cooley","Utah State",75,265,4.87,33,22,115,7.21,4.19,"TE",2004,81,35,1
"Chris Gamble","Ohio State",73,198,4.52,NA,NA,NA,NA,NA,"CB",2004,28,48,1
"Chris Perry","Michigan",72,224,4.56,NA,19,NA,NA,NA,"RB",2004,26,10,1
"Chris Snee","Boston Col.",75,314,5.1,30.5,29,104,7.75,4.66,"OG",2004,34,72,1
"Chris Thompson","Nicholls State",72,189,4.5,35,12,117,7.09,4.14,"CB",2004,150,2,1
"Christian Ferrara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,226,0,1
"Christian Morton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,233,3,1
"Clarence Moore","Northern Arizona",78,211,4.55,34,NA,122,6.84,4.16,"WR",2004,199,3,1
"Claude Harriott","Pittsburgh",76,252,4.69,30.5,25,118,7.44,4.25,"DE",2004,147,0,1
"Cody Pickett","Washington",75,233,4.79,30.5,NA,109,7.19,4.3,"QB",2004,217,2,1
"Cody Spencer","North Texas",74,242,4.65,34.5,27,116,6.94,4.08,"ILB",2004,182,5,1
"Colby Bockwoldt","BYU",74,230,4.6,34,14,112,7.12,4.05,"OLB",2004,240,13,1
"Corey Williams","Arkansas State",76,313,5.18,28,25,106,7.97,4.55,"DT",2004,179,34,1
"Courtney Anderson","San Jose State",78,269,4.89,30,17,106,7.86,4.45,"TE",2004,245,6,1
"Courtney Watson","Notre Dame",73,237,4.56,36.5,22,114,7.39,4.35,"OLB",2004,60,8,1
"Craig Krenzel","Ohio State",75,228,4.84,28,NA,112,7.22,4.08,"QB",2004,148,2,1
"Craig Terrill","Purdue",74,290,5.21,26.5,28,100,7.39,4.1,"DT",2004,189,10,1
"D.J. Hackett","Colorado",74,199,4.53,41,NA,131,6.79,4.08,"WR",2004,157,15,1
"D.J. Williams","Miami (FL)",73,250,4.55,NA,NA,NA,NA,NA,"OLB",2004,17,55,1
"Darrell Campbell","Notre Dame",76,302,5.18,33,25,111,7.63,4.66,"DT",2004,300,0,0
"Daryl Dixon","Florida",70,195,4.77,35.5,15,118,NA,NA,"S",2004,300,0,0
"DeMarco McNeil","Auburn",73,310,5.32,NA,NA,NA,NA,NA,"DT",2004,300,0,0
"Derek McCoy","Colorado",75,210,4.73,38,NA,128,7.1,4.09,"WR",2004,300,0,0
"Derrick Knight","Boston Col.",69,209,4.71,31.5,16,108,NA,NA,"RB",2004,300,0,0
"Darius Watts","Marshall",73,188,4.5,NA,NA,NA,NA,NA,"WR",2004,54,5,1
"Darnell Dockett","Florida State",75,297,5,31,26,105,NA,NA,"DT",2004,64,72,1
"Darrell McClover",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,213,5,1
"Darrion Scott","Ohio State",75,289,4.81,36.5,NA,118,NA,4.32,"DE",2004,88,16,1
"Daryl Smith","Georgia Tech",74,234,4.67,NA,24,NA,NA,NA,"OLB",2004,39,76,1
"Dave Ball","UCLA",77,277,5.07,NA,24,NA,NA,NA,"DE",2004,133,16,1
"David Kimball","Penn State",73,209,4.88,NA,NA,NA,NA,NA,"K",2004,229,0,1
"DeAngelo Hall","Virginia Tech",70,202,4.34,NA,NA,NA,NA,NA,"CB",2004,8,63,1
"Deandre' Eiland","South Carolina",71,202,4.53,35,17,113,7.19,4.27,"S",2004,300,0,0
"Demorrio Williams","Nebraska",73,232,4.52,37,16,125,7.02,4.11,"OLB",2004,101,36,1
"Derek Abney","Kentucky",69,179,4.58,33.5,NA,120,6.89,4.08,"WR",2004,244,0,1
"Derrick Hamilton","Clemson",75,196,4.54,NA,NA,NA,NA,NA,"WR",2004,77,1,1
"Derrick Pope","Alabama",71,230,4.71,NA,24,106,NA,NA,"OLB",2004,222,11,1
"Derrick Strait","Oklahoma",71,196,4.52,NA,NA,NA,NA,NA,"CB",2004,76,4,1
"Derrick Ward",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,235,26,1
"Devard Darling","Washington State",73,213,4.52,37,NA,129,NA,NA,"WR",2004,82,5,1
"Devery Henderson","LSU",71,198,4.41,NA,NA,NA,NA,NA,"WR",2004,50,37,1
"Dexter Reid","North Carolina",71,203,4.56,NA,NA,NA,NA,NA,"S",2004,113,5,1
"Dexter Wynn","Colorado State",69,175,4.49,39,13,123,6.7,3.9,"CB",2004,192,5,1
"Dominic Furio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,243,0,1
"Donnell Washington","Clemson",77,332,5,31,34,109,7.8,4.88,"DT",2004,72,0,1
"Dontarrious Thomas","Auburn",74,241,4.57,38.5,26,129,NA,4,"OLB",2004,48,9,1
"Drew Carter","Ohio State",76,204,4.36,NA,NA,NA,NA,NA,"WR",2004,163,9,1
"Drew Caylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,197,0,1
"Dunta Robinson","South Carolina",71,186,4.34,36,15,120,6.97,3.75,"CB",2004,10,40,1
"Dwan Edwards","Oregon State",75,313,5.12,28,25,105,7.59,4.68,"DT",2004,51,33,1
"Dylan McFarland","Montana",78,304,5.26,27.5,31,98,NA,NA,"OT",2004,207,1,1
"Eli Manning","Mississippi",77,221,4.9,NA,NA,NA,NA,NA,"QB",2004,1,119,1
"Eric Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,212,1,1
"Erik Coleman","Washington State",70,200,4.64,35.5,16,117,7.03,4.14,"S",2004,143,35,1
"Erik Jensen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,237,0,1
"Ernest Wilford","Virginia Tech",76,226,4.79,40.5,NA,130,NA,4.17,"WR",2004,120,23,1
"Etric Pruitt","Southern Miss",72,197,4.57,39.5,NA,116,7.15,4,"S",2004,186,1,1
"Eugene Amano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,239,29,1
"Fred Russell","Iowa",67,195,4.5,34,21,121,7.09,4.3,"RB",2004,300,0,0
"Gabe Nyenhuis","Colorado",75,269,4.74,39,25,124,6.92,4.03,"DE",2004,300,0,0
"George Wilson","Arkansas",72,213,4.63,35,NA,120,7.07,3.98,"WR",2004,300,0,0
"Greg Richmond","Oklahoma State",73,233,4.73,NA,17,NA,NA,NA,"OLB",2004,300,0,0
"Greg Taplin","Michigan State",77,267,5.09,33,NA,115,NA,NA,"DE",2004,300,0,0
"Gibril Wilson","Tennessee",72,197,4.47,NA,15,120,NA,NA,"S",2004,136,35,1
"Gilbert Gardner","Purdue",73,229,4.65,NA,NA,NA,NA,NA,"OLB",2004,69,9,1
"Glenn Earl","Notre Dame",73,222,4.65,NA,20,NA,NA,NA,"S",2004,122,11,1
"Greg Brooks","Southern Miss",71,177,4.45,NA,NA,NA,NA,NA,"CB",2004,183,2,1
"Greg Jones","Florida State",73,249,4.55,NA,NA,NA,NA,NA,"RB",2004,55,10,1
"Guss Scott","Florida",70,204,4.46,39,20,124,NA,NA,"S",2004,95,2,1
"Huey Whittaker","South Florida",76,234,4.62,37,NA,121,7.06,4.13,"WR",2004,300,0,0
"Igor Olshansky","Oregon",77,315,4.96,33.5,41,110,7.61,4.41,"DT",2004,35,38,1
"Isaac Hilton","Kansas State",75,267,4.57,36.5,31,123,7.99,4.48,"DE",2004,253,0,1
"Isaac Sopoaga","Hawaii",74,317,4.97,30.5,42,99,7.79,4.66,"DT",2004,104,37,1
"J.P. Losman","Tulane",74,224,4.73,33,NA,116,NA,NA,"QB",2004,22,20,1
"J.R. Reed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,129,4,1
"Jabari Greer","Tennessee",70,178,4.5,36.5,7,126,NA,NA,"CB",2004,300,0,0
"James Newson","Oregon State",73,213,4.76,31.5,NA,116,7.41,NA,"WR",2004,300,0,0
"Jared Lorenzen","Kentucky",75,288,5.28,NA,NA,NA,NA,NA,"QB",2004,300,0,0
"Jarrett Payton","Miami (FL)",72,220,4.66,31,NA,115,7.34,4.31,"RB",2004,300,0,0
"Jason Fife","Oregon",76,226,4.83,30.5,NA,113,7.28,4.18,"QB",2004,300,0,0
"Jason Peters","Arkansas",76,336,4.93,29,21,115,7.7,4.75,"TE",2004,300,0,0
"Jason Wright","Northwestern",70,210,4.68,30,NA,111,7.35,4.12,"RB",2004,300,0,0
"John Standeford","Purdue",75,197,4.6,32.5,NA,113,6.9,4.08,"WR",2004,300,0,0
"Jonathan Harrell","New Mexico",73,242,4.73,NA,27,NA,NA,NA,"OLB",2004,300,0,0
"Jordan Carstens","Iowa State",77,305,5,28.5,28,106,8.35,4.8,"DT",2004,300,0,0
"Josh Buhl","Kansas State",71,204,4.73,29,NA,114,7.26,4.32,"OLB",2004,300,0,0
"Josh Davis","Nebraska",70,200,4.54,33.5,13,112,7.27,4.07,"RB",2004,300,0,0
"Justin Jenkins","Mississippi State",71,213,4.6,35,NA,123,7.47,4.16,"WR",2004,300,0,0
"Jacob Bell","Miami (OH)",77,302,5.22,NA,26,NA,NA,NA,"OG",2004,138,33,1
"Jacob Rogers","USC",78,307,5.3,NA,30,NA,NA,NA,"OT",2004,52,1,1
"Jacques Reeves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,223,17,1
"Jake Grove","Virginia Tech",75,303,5.16,NA,31,NA,NA,NA,"C",2004,45,21,1
"Jake Scott","Idaho",77,281,5.06,34.5,24,110,7.96,4.68,"OT",2004,141,57,1
"Jamaar Taylor","Texas A&M",73,197,4.46,NA,NA,NA,NA,NA,"WR",2004,168,2,1
"Jammal Lord",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,175,1,1
"Jared Allen","Idaho State",78,265,4.72,33,13,120,7.11,4.34,"DE",2004,126,100,1
"Jared Clauss","Iowa",77,294,4.95,NA,23,NA,NA,NA,"DT",2004,230,3,1
"Jason Babin","West. Michigan",75,260,4.62,34,28,121,7.03,4.14,"DE",2004,27,47,1
"Jason David",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,125,26,1
"Jason Shivers","Arizona State",72,201,4.51,36,19,128,NA,NA,"S",2004,158,1,1
"Jeb Terry","North Carolina",77,313,5.2,29,27,105,8.03,4.98,"OG",2004,146,3,1
"Jeff Dugan","Maryland",76,263,5,28,21,109,7.4,4.32,"TE",2004,220,3,1
"Jeff Shoate","San Diego State",70,189,4.62,36,12,121,7,3.88,"CB",2004,152,1,1
"Jeff Smoker","Michigan State",75,223,4.95,26.5,NA,101,7.65,4.36,"QB",2004,201,0,1
"Jeremy LeSueur","Michigan",72,197,4.53,35,NA,116,NA,NA,"CB",2004,85,1,1
"Jeris McIntyre","Auburn",71,203,4.46,29,NA,112,6.98,4.08,"WR",2004,195,0,1
"Jerricho Cotchery","North Carolina State",72,212,4.54,36,NA,121,6.93,3.91,"WR",2004,108,53,1
"Jim Molinaro","Notre Dame",78,308,5.09,29.5,21,105,7.75,4.6,"OT",2004,180,2,1
"Jim Sorgi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,193,6,1
"Joey Thomas","Montana State",73,195,4.44,38.5,17,122,6.82,3.88,"CB",2004,70,4,1
"John Navarre","Michigan",78,246,5.19,26.5,NA,100,7.73,4.46,"QB",2004,202,1,1
"Johnnie Morant","Syracuse",76,229,4.51,41,NA,130,7.34,4.22,"WR",2004,134,1,1
"Jonathan Smith","Georgia Tech",70,194,4.78,32.5,NA,114,NA,4.35,"WR",2004,214,3,1
"Jonathan Vilma","Miami (FL)",72,233,4.61,NA,NA,NA,NA,NA,"ILB",2004,12,58,1
"Jorge Cordova","Nevada",73,241,4.65,35.5,22,NA,7.25,4.16,"ILB",2004,86,2,1
"Josh Harris","Bowling Green",73,238,4.78,31,NA,115,NA,NA,"QB",2004,187,0,1
"Josh Scobee","Louisiana Tech",73,191,4.87,NA,NA,NA,NA,NA,"K",2004,137,27,1
"Josh Sewell","Nebraska",74,301,5.06,30,30,99,7.53,4.24,"C",2004,190,0,1
"Julius Jones","Notre Dame",70,217,4.47,37.5,NA,121,6.97,4.12,"RB",2004,43,39,1
"Junior Siavii","Oregon",76,344,5.16,24.5,31,93,7.93,4.84,"DT",2004,36,7,1
"Justin Smiley","Alabama",75,298,5.07,32,19,111,7.72,4.41,"OG",2004,46,28,1
"Keith Willis","Virginia Tech",78,260,5.03,NA,21,114,7.33,4.44,"TE",2004,300,0,0
"Kelvin Kight","Florida",72,213,4.56,34,NA,109,7.18,4.24,"WR",2004,300,0,0
"Kendrick Starling","San Jose State",73,193,4.49,31.5,NA,119,6.88,3.87,"WR",2004,300,0,0
"Kevin Beard","Miami (FL)",72,180,4.46,31,NA,113,NA,NA,"WR",2004,300,0,0
"Kevin Emanuel","Florida State",76,251,4.84,31,21,108,7.86,4.49,"DE",2004,300,0,0
"Kevin Youngblood","Clemson",76,213,4.64,34,NA,NA,NA,NA,"WR",2004,300,0,0
"Khiawatha Downey","Indiana (PA)",76,332,5.5,26.5,21,98,8.01,4.82,"OG",2004,300,0,0
"Kyle Larson","Nebraska",73,204,4.86,NA,NA,NA,NA,NA,"P",2004,300,0,0
"Karlos Dansby","Auburn",75,251,4.58,NA,NA,NA,NA,NA,"OLB",2004,33,82,1
"Keary Colbert","USC",73,207,4.6,30,NA,NA,NA,NA,"WR",2004,62,15,1
"Keith Lewis","Oregon",72,204,4.6,37,11,121,7.28,4.07,"S",2004,198,8,1
"Keith Smith","McNeese State",71,201,4.48,36.5,12,116,NA,NA,"CB",2004,73,8,1
"Keiwan Ratliff","Florida",70,194,4.56,NA,11,NA,NA,NA,"CB",2004,49,10,1
"Kelly Butler","Purdue",79,320,5.11,30.5,NA,105,7.96,4.92,"OT",2004,172,10,1
"Kendyll Pope","Florida State",73,226,4.7,NA,NA,118,NA,4.26,"OLB",2004,107,1,1
"Kenechi Udeze","USC",75,281,4.77,NA,NA,NA,NA,NA,"DE",2004,20,20,1
"Kevin Jones","Virginia Tech",72,227,4.38,38,NA,120,NA,NA,"RB",2004,30,28,1
"Kevin Sampson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,231,6,1
"Keyaron Fox","Georgia Tech",74,227,4.65,NA,28,NA,NA,NA,"OLB",2004,93,14,1
"Kirk Chambers","Stanford",79,313,5.44,27,22,101,7.56,4.4,"OT",2004,176,10,1
"Kris Wilson","Pittsburgh",74,248,4.62,35,24,119,6.88,4.1,"TE",2004,61,4,1
"Larry Stevens","Michigan",74,241,4.86,NA,NA,NA,NA,NA,"DE",2004,300,0,0
"Lawrence Richardson","Arkansas",69,194,4.62,31,8,112,NA,NA,"CB",2004,300,0,0
"Lewis Moore","Pittsburgh",73,234,4.68,NA,NA,NA,NA,NA,"OLB",2004,300,0,0
"Lousaka Polite","Pittsburgh",72,246,4.68,32,28,117,7.45,4.18,"FB",2004,300,0,0
"Landon Johnson","Purdue",74,227,4.65,37.5,20,120,7,4.08,"OLB",2004,96,29,1
"Larry Fitzgerald","Pittsburgh",75,225,4.48,NA,NA,NA,NA,NA,"WR",2004,3,94,1
"Larry Turner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,238,2,1
"Lee Evans","Wisconsin",71,197,4.39,34.5,NA,120,NA,NA,"WR",2004,13,50,1
"Lenny Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,252,0,1
"Leon Joe","Maryland",72,230,4.49,39,30,NA,NA,NA,"OLB",2004,112,4,1
"Luke McCown","Louisiana Tech",76,208,4.71,37.5,NA,125,6.74,4.21,"QB",2004,106,9,1
"Marcell Allmond","USC",72,209,4.59,38,21,123,7.37,4.34,"CB",2004,300,0,0
"Maurice Brown","Iowa",72,219,4.56,33,NA,117,7.38,4.21,"WR",2004,300,0,0
"Maurice Jones","South Florida",73,249,4.71,35.5,26,118,7.16,4.21,"OLB",2004,300,0,0
"Mondre Dickerson","Tennessee",76,316,5.12,27,29,106,8.34,NA,"DT",2004,300,0,0
"Madieu Williams","Maryland",72,193,4.48,NA,18,125,NA,NA,"S",2004,56,35,1
"Marcus Tubbs","Texas",76,321,5.05,32.5,29,105,NA,NA,"DT",2004,23,10,1
"Mark Jones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,206,1,1
"Mark Wilson","California",79,314,5.36,28.5,24,108,7.53,4.49,"OT",2004,151,1,1
"Marko Cavka","Sacramento State",79,294,5.17,27.5,27,107,7.53,4.37,"OT",2004,178,0,1
"Marquis Cooper","Washington",75,223,4.55,36.5,25,121,7.02,4.12,"OLB",2004,79,4,1
"Marquise Hill","LSU",79,305,5.12,29,23,106,NA,NA,"DE",2004,63,1,1
"Matt Kranchick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,194,1,1
"Matt Mauck","LSU",74,228,4.79,NA,NA,NA,NA,NA,"QB",2004,225,2,1
"Matt Schaub","Virginia",78,243,5.04,30.5,NA,110,7.65,4.62,"QB",2004,90,71,1
"Matt Ware","UCLA",74,209,4.54,NA,15,NA,NA,NA,"S",2004,89,7,1
"Matthias Askew","Michigan State",77,308,5.2,27,20,101,7.55,4.42,"DT",2004,114,1,1
"Maurice Mann","Nevada",73,191,4.57,34,NA,118,NA,NA,"WR",2004,149,1,1
"Max Starks","Florida",79,350,5.56,27.5,21,98,7.88,4.65,"OT",2004,75,50,1
"Mewelde Moore","Tulane",71,209,4.65,35,NA,118,7.05,4.12,"RB",2004,119,30,1
"Michael Boulware","Florida State",74,225,4.5,NA,NA,NA,6.89,3.92,"OLB",2004,53,18,1
"Michael Clayton","LSU",75,209,4.67,32.5,NA,116,6.77,4.09,"WR",2004,15,23,1
"Michael Gaines","Central Florida",74,275,5.06,33,18,109,7.44,4.18,"TE",2004,232,8,1
"Michael Jenkins","Ohio State",76,218,4.4,NA,NA,NA,NA,NA,"WR",2004,29,40,1
"Michael Turner","Northern Illinois",70,237,4.49,31,22,114,7.5,4.15,"RB",2004,154,55,1
"Michael Waddell","North Carolina",71,187,4.31,37.5,14,121,6.84,4.03,"CB",2004,124,4,1
"Mike Karney","Arizona State",71,254,5.02,30,25,103,NA,NA,"FB",2004,156,3,1
"Nat Dorsey","Georgia Tech",79,322,5.46,28.5,26,102,8.3,4.84,"OT",2004,115,9,1
"Nate Kaeding","Iowa",72,187,4.95,NA,NA,NA,NA,NA,"K",2004,65,22,1
"Nate Lawrie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,181,1,1
"Nathan Vasher","Texas",70,177,4.49,NA,NA,NA,NA,NA,"CB",2004,110,33,1
"Nathaniel Adibi","Virginia Tech",75,254,4.65,33,NA,118,NA,4.36,"DE",2004,145,0,1
"Nick Hardwick","Purdue",75,295,5.2,34,27,108,7.72,4.55,"C",2004,66,64,1
"Nick Leckey","Kansas State",75,290,5.26,27,18,97,7.71,4.47,"C",2004,167,15,1
"Niko Koutouvides","Purdue",74,244,4.71,30.5,NA,108,6.98,3.88,"ILB",2004,116,9,1
"P.K. Sam","Florida State",75,210,4.54,34.5,NA,NA,7.04,NA,"WR",2004,164,1,1
"Patrick Crayton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,216,34,1
"Philip Rivers","North Carolina State",77,229,5.08,NA,NA,NA,NA,NA,"QB",2004,4,150,1
"Quinn Christensen","BYU",78,312,5.1,NA,32,NA,NA,NA,"OG",2004,300,0,0
"Quintin Williams","Wake Forest",71,207,4.6,37,21,122,7.28,4.09,"S",2004,300,0,0
"Quincy Wilson","West Virginia",69,225,4.6,33.5,26,118,7.68,4.36,"RB",2004,219,1,1
"Ran Carthon","Florida",71,224,4.51,34.5,22,112,NA,4.12,"RB",2004,300,0,0
"Randy Jordan","Kansas State",73,178,4.59,33.5,NA,115,7.34,4.21,"CB",2004,300,0,0
"Regis Crawford","Arizona State",74,316,6.05,NA,NA,NA,8.03,4.86,"OG",2004,300,0,0
"Renaldo Works","Oklahoma",72,222,4.7,30.5,21,115,7.25,4.09,"RB",2004,300,0,0
"Robert Kent","Jackson State",76,222,4.87,26.5,NA,110,7.69,4.22,"QB",2004,300,0,0
"Roc Alexander","Washington",71,185,4.35,39.5,NA,125,6.97,4.23,"CB",2004,300,0,0
"Rod Rutherford","Pittsburgh",74,240,4.79,30.5,NA,110,7.66,4.41,"QB",2004,300,0,0
"Ronnie Ghent","Louisville",74,248,5.02,27.5,11,103,7.47,4.5,"TE",2004,300,0,0
"Rufus Brown","Florida State",69,187,4.43,33,15,124,7.24,4.44,"CB",2004,300,0,0
"Ryan Boschetti","UCLA",76,306,5.06,29.5,NA,110,7.41,4.27,"DT",2004,300,0,0
"Ryan Fowler","Duke",75,250,4.8,37.5,35,118,7.19,4.19,"ILB",2004,300,0,0
"Raheem Orr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,210,1,1
"Randy Starks","Maryland",75,314,5.08,29.5,27,102,NA,NA,"DT",2004,71,62,1
"Rashad Washington","Kansas State",74,223,4.61,34,14,116,7.06,4.02,"S",2004,236,4,1
"Rashaun Woods","Oklahoma State",74,202,4.47,39,NA,125,6.93,3.97,"WR",2004,31,2,1
"Reggie Torbor","Auburn",74,254,4.65,34,16,120,7.48,4.46,"DE",2004,97,18,1
"Reggie Williams","Washington",76,229,4.56,NA,NA,NA,NA,NA,"WR",2004,9,24,1
"Rex Hadnot","Houston",74,323,5.5,24.5,27,91,7.94,4.66,"C",2004,174,34,1
"Ricardo Colclough","Tusculum",71,194,4.49,39.5,8,127,NA,NA,"CB",2004,38,3,1
"Rich Gardner","Penn State",71,199,4.46,36.5,11,123,6.91,3.91,"CB",2004,92,3,1
"Richard Seigler","Oregon State",74,244,4.86,NA,25,NA,NA,NA,"ILB",2004,127,1,1
"Robert Gallery","Iowa",79,323,4.98,30,24,105,7.42,4.38,"OT",2004,2,40,1
"Robert Geathers","Georgia",75,271,4.84,33.5,24,112,NA,NA,"DE",2004,117,47,1
"Robert Reynolds","Ohio State",75,251,4.76,32.5,18,116,7.17,3.94,"ILB",2004,165,3,1
"Rod Davis","Southern Miss",74,239,4.76,NA,NA,114,7.2,4.02,"ILB",2004,155,4,1
"Roderick Green","Central Missouri State",74,245,4.7,34.5,21,129,7.26,4.04,"DE",2004,153,7,1
