"player_name_pfr","college_combine","Ht","Wt","X40yd","Vertical","Bench","Broad_Jump","X3Cone","Shuttle","pos_combine","combine_yr","Pick","Career_AV_New","draft_dummy"
"Trysten Hill","Central Florida",75,308,5.04,35,28,115,7.7,4.38,"DL",2019,58,4,1
"Ty Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,186,5,1
"Ty Summers","TCU",73,241,4.51,36,27,123,NA,NA,"LB",2019,226,4,1
"Tyler Jones","North Carolina State",75,306,NA,31.5,23,111,7.75,4.82,"OT",2019,300,0,0
"Tyler Roemer","San Diego State",78,312,5.21,30.5,18,108,7.75,4.76,"OT",2019,300,0,0
"Tyre Brady","Marshall",75,211,NA,32,12,117,NA,4.25,"WR",2019,300,0,0
"Tyree Jackson","Buffalo",79,249,4.59,34.5,NA,120,7.09,4.28,"QB",2019,300,0,0
"Tyrel Dodson","Texas A&M",72,237,4.6,NA,24,118,NA,NA,"LB",2019,300,0,0
"Tytus Howard","Alabama State",77,322,5.05,29.5,21,103,8.34,4.87,"OT",2019,23,19,1
"Vosean Joseph","Florida",73,230,NA,NA,NA,NA,NA,NA,"LB",2019,147,0,1
"Wes Martin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,131,5,1
"Will Grier","West Virginia",74,217,4.84,34,NA,112,7.09,4.28,"QB",2019,100,2,1
"Will Harris","Boston Col.",73,207,4.41,36.5,20,123,6.91,4.12,"S",2019,81,5,1
"William Sweet","North Carolina",78,313,5.27,30.5,23,111,8.01,5,"OT",2019,300,0,0
"Wyatt Ray","Boston Col.",75,257,4.83,34,25,118,7.34,4.31,"EDGE",2019,300,0,0
"Xavier Crawford","Central Michigan",71,187,4.48,37.5,11,NA,NA,NA,"CB",2019,195,1,1
"Yodny Cajuste","West Virginia",77,312,NA,NA,32,NA,NA,NA,"OT",2019,101,0,1
"Zach Allen","Boston Col.",76,281,5,32,24,112,7.34,4.36,"DL",2019,65,6,1
"Zach Gentry","Michigan",80,265,4.9,29.5,12,110,7.4,4.53,"TE",2019,141,1,1
"Zack Bailey","South Carolina",77,299,NA,28,24,103,NA,NA,"OL",2019,300,0,0
